,NCESSCH,URL
1,20000100329.0,http://ayaprun.lksd.org/
5,20018000178.0,https://familypartnership.asdk12.org/
12,20018000732.0,https://rilkeschule.asdk12.org/
16,20039000274.0,http://auroraborealis.blogs.kpbsd.k12.ak.us/
28,20057000323.0,http://nome.nosd.schoolaccess.net/~acsa/
32,20060000464.0,http://ekc.k12northstar.org/
146,40007402185.0,http://kaolaz.org/calendar.html
396,40020903364.0,http://www.canyonviewprep.org/contact-us
461,40024102029.0,http://www.pecschools.org/
462,40024102957.0,http://pecschools.org/
614,40033002206.0,http://www.compasshighschool.com/
615,40033202165.0,https://www.crownpoinths.net/
787,40060903117.0,http://bradleycreemos.org/
805,40062103161.0,http://www.pinnacleonlinehighschool.com/contact.html
854,40065001846.0,http://www.integrityeducationcentre.com/
989,40084503338.0,http://www.leadingedgeacademy.com/san-tan/
1027,40088303411.0,http://caminomontessori.com/
1222,50041501612.0,http://ozarkcca.org/
1229,50303001597.0,https://www.pearidgemba.com/
1259,60000113793.0,http://www.scaleacademy.org/
1299,60001312302.0,http://www.mmcharter.org/
1386,60133204148.0,https://smythek6-trusd_ca.schoolloop.com/
1450,60171013723.0,http://www.taylionhighdesert.com/
1472,60261013858.0,http://goalsacademy.us/
1676,61371012613.0,http://www.ipakanni.com/
1706,61455011846.0,http://www.sierracharter.org/
1792,61914008596.0,http://www.juliancharterschool.org/
1816,62079010631.0,http://www.baronaindiancharterschool.com/
1925,62271007521.0,http://haynescharter.com/
1956,62271010846.0,http://wearesynergy.org/
2208,62274013026.0,http://www.foundationspublicschools.org/
2229,62400011479.0,http://mwcharter.org/
2262,62610012759.0,http://www.mycpms.net/
2289,62703012945.0,http://www.mantecachristianpreschool.com/
2290,62703013064.0,http://ablecharter.net/
2296,62703013713.0,http://www.acaciaelementary.org/about
2297,62703013727.0,https://acaciamiddle.org/
2484,63132004864.0,http://edline.pusd.org/pages/PUSD
2485,63132012112.0,http://www.pusd.org/seeo/
2567,63417010364.0,https://www.palcenter.org/
2579,63417013063.0,http://woodwardleadershipacademy.com/
2592,63432005339.0,http://www.mcgillschoolofsuccess.org/
2717,63501013176.0,http://www.aacacademy.com/
2746,63583011483.0,http://www.rhouseinc.org/abraxis-charter-school.html
2761,63660008391.0,https://www.shastacharteracademy.org/
2779,63738006320.0,http://ib.sbusd.org/
2780,63738006321.0,http://nestor.sbusd.org/pages/Nestor_Language_Academy_Charte
2832,64059013743.0,http://www.kairospublicschools.org/
2836,64071013696.0,http://www.taylionsandiego.com/
2857,64119012930.0,http://www.guajome.net/guajome-learning-centers
2858,64119013667.0,http://www.bellamentecharter.org/
2905,64356011884.0,http://www.inlandleaders.com/
3048,69104613754.0,http://www.foothillleadership.com
3111,80002006305.0,http://www.caprockacademy.org/
3172,80258001729.0,https://www.bromleyeastcs.org/
3216,80336001862.0,http://www.chscharter.org/
3308,80387002000.0,http://www.rmcacs.org/
3379,80579001660.0,http://www.passagecharter.org/
3389,80615000632.0,http://www.theconnectschool.net/
3393,80666001749.0,http://www.northroutt.com/
3430,90003101405.0,http://stamfordacademy.org/
9,20018000460.0,http://www.asdk12.org/aboutschools/eagleacademy/
35,40000102484.0,http://www.ccusd93.org/horseshoetrailses
432,40023002171.0,http://cortezpark.org/home/
503,40026802092.0,http://www.dvayuma.com/
519,40027902170.0,http://www.imaginewestgilbert.org/
680,40037402169.0,http://imaginebellcanyon.org/
683,40037602313.0,http://cortezpark.org/home/
684,40037702314.0,http://www.imaginewestgilbert.org/
760,40042502527.0,http://www.imagineeastmesa.com/
772,40043802653.0,http://dwdragons.org/home/
775,40044102658.0,http://surpriseprep.org/home/junior-high/
776,40044202683.0,http://www.imagineeastmesa.com/
779,40044502676.0,http://imaginecamelback.org/home/
832,40063803360.0,http://edkey.org/
876,40075402819.0,http://www.dwdragons.com/
879,40075602813.0,http://imaginecamelback.org/home/
890,40076602901.0,http://imaginecoolidge.com/
892,40076902956.0,http://imagineprepcoolidge.org/home/
893,40077002903.0,http://www.surpriseprep.com/
900,40078002928.0,http://www.imagineavondale.com/
903,40078302932.0,http://imagineprep.org/home/
918,40079702994.0,http://www.academydelsol.com/
923,40080003211.0,http://theodysseyacademy.com/
926,40080003368.0,http://www.theodysseyacademy.com/
928,40080202962.0,http://www.imagineavondale.com/
944,40081003026.0,http://imagineprep.org/home/
1269,60000113838.0,https://www.schoolscout.com/schools/mosaica-online-academy-of-los-angeles-agua-dulce
1424,60142512419.0,http://msasa.magnoliapublicschools.org/
1480,60282013154.0,http://avvirtual.org/
1497,60303012960.0,http://www.laureltreelc.org/
1575,60834013003.0,http://www.chicagoparkschool.org/
1704,61455010775.0,http://www.valleyprep.com/
1776,61839012467.0,http://iies.icefps.org/
1777,61839012531.0,http://www.iims.icefps.org/
1913,62271003381.0,http://www.superiorstreetschool.com/
1914,62271003387.0,http://tafthigh.org/
1928,62271008030.0,http://vpes.icefps.org/
1932,62271008721.0,http://www.mlccharter.org/
1941,62271010524.0,http://msa1.magnoliapublicschools.org/
1944,62271010530.0,http://vpms.icefps.org/
1969,62271010866.0,http://www.gabriellacharterschool.org/
1987,62271011312.0,http://catchcharter.org/
1995,62271011358.0,http://vphs.icefps.org/
2027,62271011842.0,http://msa2.magnoliapublicschools.org/
2037,62271011954.0,http://ivms.icefps.org/
2040,62271012010.0,http://msa3.magnoliascience.org/
2051,62271012194.0,http://iila.icefps.org/
2055,62271012222.0,http://ives.icefps.org/
2056,62271012227.0,http://ldes.icefps.org/
2058,62271012235.0,http://msa7.magnoliapublicschools.org/
2070,62271012322.0,http://www.msa6.magnoliapublicschools.org/
2073,62271012347.0,http://msa5.magnoliapublicschools.org/
2075,62271012360.0,http://www.msa4.magnoliapublicschools.org/
2107,62271012695.0,http://msa8.magnoliapublicschools.org/
2152,62271013183.0,http://www.applecharters.org/
2211,62334010951.0,http://www.etaacharter.com/
2234,62409012661.0,http://www.paragoncollegiateacademy.org/
2373,62805012006.0,http://www.covaconservatory.org/
2394,62805013888.0,http://www.covaconservatory.org/
2439,62958013029.0,http://www.tpaa.org/
2498,63204008636.0,http://monarchkids.com/
2527,63264005083.0,http://rvusd.org/schools/village/
2536,63315013116.0,http://reachleadershipacademy.org/
2572,63417012377.0,http://www.soarcharteracademy.org/
2626,63432011393.0,http://msasd.magnoliapublicschools.org/
2846,64116008424.0,http://www.vusd.org/CharterAcademy.cfm
3089,69107813159.0,http://www.westchestercharter.org/
3387,80612001730.0,http://dhph.chpa-k12.org/
3390,80615001559.0,http://sca.district70.org/
3391,80615006360.0,http://sca.district70.org/apps/pages/index.jsp?uREC_ID=140091&type=d&pREC_ID=405577
3433,90020700907.0,http://highvillecharter.com/
3453,90022101803.0,http://capitalprepharbor.org/
